,chiSquared,AIC
onlyLossAversion,3653.913331661753,37013.2258926177
onlyUnequalAttention,3587.403358227601,37086.08191903009
onlyStartingBias,2794.6195621780585,37069.755874411254
onlyUnequalThreshold,3161.7734129804935,37837.129551746424
onlyFixedUtilityBias,4092.6217154880756,37177.71837571059
