,chiSquared,AIC
full,4136.272824523063,75816.19938885729
noLossAversion,5822.696422940061,77630.05208854283
noPredecisionalBias,6067.012765884558,77050.30014845349
noFixedUtilityBias,4582.95693670899,76740.31525511955
