increaseValue,decreaseValue,response, RT
25,5,0, 38.112
10,15,1, 9.558
25,10,0, 43.828
15,15,0, 2.078
15,1,0, 2.198
10,5,0, 1.240
5,10,1, 1.619
25,1,0, 1.286
25,25,0, 1.979
20,15,0, 2.416
1,10,1, 3.144
10,10,0, 1.133
5,20,1, 1.463
10,15,1, 2.060
20,5,0, 1.400
20,1,0, 1.258
1,5,1, 2.104
