,chiSquared,AIC
unequalThreshold (baseline),2167.1017338894494,77470.05031048524
onlyLossAversion.csv,5532.8586658084305,77431.3417885045
onlyPredecisionalBias.csv,3355.3364184411525,76775.8112056548
onlyFixedUtilityBias.csv,4716.835338929269,77136.34508940719
