,chiSquared,AIC
unequalAttention (baseline),1755.253007535839,65929.82235290416
onlyLossAversion.csv,2085.123788001543,63920.22488606592
onlyPredecisionalBias.csv,3622.827764690883,64420.485073272306
onlyFixedUtilityBias.csv,2770.2023672447217,64656.55407517757
