subj_idx,response,rt,gain,loss
2,0,0.493608,20,-10
2,0,0.72687,90,-80
2,0,3.28681,70,-90
2,1,0.880157,50,-10
2,0,0.786178,60,-60
2,0,0.927598,30,-40
2,0,0.991545,10,-40
2,0,1.156028,40,-60
2,0,1.169369,20,-70
2,0,0.766251,90,-70
2,0,0.723499,40,-50
2,0,0.890867,60,-60
2,0,0.683609,10,-20
2,1,1.24344,100,-30
2,0,0.894259,40,-90
2,1,1.557904,50,-30
2,0,0.890909,90,-100
2,0,0.795469,30,-50
2,0,1.079523,100,-90
2,0,1.160716,80,-70
2,0,0.774238,50,-50
2,0,0.642921,100,-100
2,0,0.988829,10,-20
2,1,0.826031,80,-40
2,1,0.708802,100,-10
2,0,1.044044,50,-70
2,0,1.150774,80,-70
2,1,1.363904,60,-30
2,0,2.19336,50,-80
2,0,0.813373,70,-80
2,1,1.18474,100,-20
2,0,0.82931,30,-90
2,0,0.848174,70,-90
2,1,1.073304,100,-30
2,1,3.674465,80,-50
2,0,1.15616,50,-70
2,0,0.785221,30,-20
2,1,2.397244,40,-20
2,0,1.145894,60,-50
2,1,0.960622,70,-10
2,0,0.734674,90,-50
2,0,1.661195,70,-50
2,0,1.143348,30,-60
2,0,0.645392,90,-90
2,0,0.88674,50,-100
2,0,0.711324,80,-90
2,0,0.711468,40,-90
2,0,1.206847,30,-50
2,0,0.649924,50,-20
2,0,0.740039,50,-60
2,1,1.193883,90,-10
2,0,1.72666,20,-70
2,0,0.677459,20,-90
2,1,0.845962,70,-30
2,0,0.960077,20,-100
2,1,1.285859,40,-10
2,0,1.87846,30,-90
2,0,0.647243,60,-70
2,0,0.713364,70,-70
2,1,0.905444,90,-30
2,0,0.64864,60,-50
2,0,0.87465,100,-60
2,0,0.635805,50,-30
2,0,0.7258,30,-20
2,0,1.805219,20,-50
2,0,0.656617,70,-100
2,0,0.938525,20,-40
2,1,1.240651,80,-10
2,0,1.219164,40,-100
2,1,0.909835,90,-40
2,1,1.069287,90,-30
2,0,0.885805,60,-80
2,0,1.438453,10,-60
2,0,1.133682,90,-60
2,0,0.667833,90,-80
2,0,0.652505,50,-40
2,0,0.790464,30,-60
2,0,1.07463,10,-40
2,0,0.659738,10,-60
2,1,0.717778,80,-20
2,0,0.813119,20,-20
2,0,1.001047,10,-90
2,0,0.620429,20,-100
2,0,0.711161,70,-100
2,1,0.966503,70,-20
2,0,0.852465,70,-50
2,0,1.437787,40,-30
2,1,1.071777,100,-50
2,0,0.888574,30,-100
2,0,1.3612,40,-70
2,1,0.838415,100,-40
2,0,1.12099,10,-10
2,0,2.543788,50,-60
2,1,1.934467,60,-10
2,0,0.845077,50,-50
2,0,0.879658,60,-40
2,0,0.729021,60,-80
2,1,0.759754,90,-10
2,0,0.653234,90,-90
2,0,1.374958,70,-60
2,0,1.203902,50,-80
2,0,1.015241,30,-10
2,0,1.634477,100,-80
2,1,0.957013,80,-30
2,0,0.77099,60,-100
2,0,1.104317,100,-60
2,1,1.888337,50,-20
2,1,1.265222,100,-70
2,0,1.250908,20,-30
2,1,1.877001,70,-20
2,1,2.397741,30,-10
2,0,0.730366,20,-20
2,0,0.777124,40,-30
2,0,0.829786,40,-40
2,0,0.729212,80,-80
2,0,1.008361,40,-80
2,1,1.051774,80,-50
2,0,0.957092,80,-100
2,1,1.827011,80,-40
2,0,1.110441,100,-70
2,0,0.685582,10,-70
2,1,0.789773,100,-50
2,0,1.145591,80,-60
2,0,1.751596,60,-90
2,0,0.636913,40,-40
2,0,0.719097,60,-90
2,0,1.038244,40,-20
2,0,1.264422,100,-90
2,0,1.089733,10,-50
2,1,0.737753,70,-40
2,0,0.919673,90,-70
2,0,0.534995,20,-10
2,0,0.844409,50,-100
2,0,1.182437,30,-80
2,0,0.579092,90,-100
2,1,0.816306,100,-20
2,1,1.027118,90,-40
2,0,0.629778,70,-70
2,0,0.641061,80,-90
2,1,1.235069,90,-50
2,0,2.204852,20,-40
2,0,0.816374,20,-80
2,0,0.540398,10,-10
2,0,1.778999,10,-100
2,1,1.5277,60,-30
2,0,1.038426,10,-100
2,1,0.88084,70,-30
2,0,2.113631,50,-90
2,0,0.937016,20,-50
2,0,0.854895,20,-80
2,0,0.784173,80,-80
2,1,1.340098,50,-10
2,1,0.762808,80,-10
2,1,0.608857,60,-20
2,0,1.068294,40,-80
2,0,1.157432,10,-30
2,1,1.114955,60,-20
2,1,1.010829,90,-20
2,1,1.382293,100,-10
2,0,1.130987,30,-70
2,0,1.057686,30,-100
2,1,0.906969,80,-20
2,0,1.194945,100,-80
2,0,1.591561,30,-70
2,1,0.95565,80,-30
2,1,1.584724,70,-40
2,0,0.740979,20,-30
2,0,1.466886,10,-50
2,0,0.747621,40,-100
2,0,0.793537,50,-90
2,1,1.149649,40,-10
2,0,0.756251,30,-30
2,0,0.850935,40,-60
3,0,9.482172,20,-80
3,0,4.845481,60,-30
3,0,6.679297,30,-30
3,1,4.988627,10,-10
3,0,4.224682,70,-90
3,0,2.899437,30,-50
3,0,4.10739,30,-60
3,0,1.618676,50,-70
3,1,3.17402,70,-10
3,0,2.955249,50,-30
3,0,1.600823,70,-70
3,1,1.596179,100,-20
3,0,8.623781,50,-50
3,1,2.734025,90,-10
3,0,2.379999,50,-80
3,0,1.480715,10,-90
3,0,1.353836,40,-70
3,0,2.975302,70,-50
3,0,0.851882,40,-100
3,0,4.517265,70,-30
3,0,1.19588,20,-100
3,0,1.48849,60,-40
3,0,3.217244,60,-40
3,1,1.043873,80,-20
3,0,1.550116,70,-30
3,1,1.395357,80,-10
3,0,2.55937,10,-60
3,0,1.340659,50,-60
3,0,3.018628,40,-30
3,0,7.74874,100,-50
3,0,3.730558,50,-60
3,1,1.185911,50,-10
3,0,1.789987,90,-90
3,0,1.057956,50,-90
