,id,choice,rt,win,loss
0,1,1,3.7902696660000004,12.0,-7.5
1,1,1,2.003779952,10.0,-15.0
2,1,0,3.9934640569999997,2.0,-3.0
3,1,0,4.90844364,10.0,-12.5
4,1,1,1.06464404,12.0,-3.75
5,1,0,1.866802527,12.0,-24.0
6,1,1,1.5391987059999999,6.0,-4.5
7,1,1,1.06368711,10.0,-4.38
8,1,1,2.100966947,4.0,-3.5
9,1,1,1.27326566,10.0,-6.25
10,1,1,0.907873873,2.0,-0.63
11,1,1,0.8927016720000001,5.0,-3.75
12,1,1,2.032757146,2.0,-2.0
13,1,0,1.455377533,4.0,-8.0
14,1,1,2.010298174,10.0,-8.75
15,1,1,0.879746128,6.0,-2.63
16,1,1,0.840620618,2.0,-0.38
17,1,1,0.7888831959999999,8.0,-2.5
18,1,1,0.76386509,6.0,-3.75
19,1,0,3.957349179,12.0,-15.0
20,1,1,0.826027814,12.0,-6.0
21,1,1,0.7970363659999999,4.0,-1.5
22,1,1,0.7312420059999999,8.0,-6.0
23,1,0,1.015304723,8.0,-12.0
24,1,1,0.749328916,9.0,-2.25
25,1,1,0.729751907,10.0,-5.0
26,1,0,1.067790662,12.0,-18.0
27,1,1,1.517439325,5.0,-5.0
28,1,1,0.7056055940000001,10.0,-3.13
29,1,1,0.621191925,9.0,-3.38
30,1,1,1.009200247,4.0,-4.0
31,1,1,0.805143308,4.0,-1.25
32,1,1,0.6959384390000001,8.0,-5.0
33,1,1,1.443859311,6.0,-1.88
34,1,1,0.967851915,9.0,-1.69
35,1,0,1.3889359730000002,5.0,-8.75
36,1,1,0.985357115,12.0,-12.0
37,1,1,0.598840435,5.0,-0.94
38,1,1,0.62665267,8.0,-3.0
39,1,1,0.6264704520000001,10.0,-3.75
40,1,0,1.500743894,9.0,-18.0
41,1,0,1.093707913,4.0,-6.0
42,1,1,0.6598093070000001,4.0,-0.75
43,1,1,1.2424219890000001,5.0,-4.38
44,1,0,3.1824296939999996,5.0,-6.25
45,1,1,0.625599045,5.0,-1.56
46,1,1,0.79684028,6.0,-1.13
47,1,1,0.7264303879999999,4.0,-2.0
48,1,1,0.725268125,5.0,-3.13
49,1,1,0.9820151779999999,9.0,-6.75
50,1,0,1.240221897,8.0,-10.0
51,1,1,0.899878265,6.0,-6.0
52,1,0,1.598115032,9.0,-11.25
53,1,0,1.175632945,9.0,-15.75
54,1,1,0.783638955,5.0,-1.88
55,1,1,0.6789317359999999,12.0,-2.25
56,1,0,1.6228157019999998,12.0,-21.0
57,1,1,0.796816781,6.0,-5.25
58,1,1,0.751257416,9.0,-2.81
59,1,1,0.5244683720000001,2.0,-1.75
