,subj_idx,response,rt,gain,loss
9,1,1,1.581,10,-10
10,1,1,1.133,24,-6
11,1,1,2.2230000000000003,20,-8
12,1,1,1.046,40,-12
13,1,1,1.5519999999999998,22,-10
14,1,1,1.279,18,-6
15,1,1,2.4530000000000003,38,-16
16,1,1,1.328,30,-20
17,1,1,1.008,22,-14
18,1,1,2.222,18,-18
19,1,0,1.767,16,-19
20,1,1,1.024,24,-10
21,1,0,1.176,12,-19
22,1,1,2.383,28,-9
23,1,1,1.936,30,-10
24,1,1,1.551,18,-15
25,1,1,1.4169999999999998,32,-14
26,1,1,1.52,34,-11
27,1,1,2.488,38,-19
28,1,1,1.202,14,-10
29,1,1,0.888,34,-8
30,1,1,1.546,30,-11
31,1,1,2.403,32,-13
32,1,1,1.176,18,-11
33,1,1,1.352,30,-7
34,1,1,0.8340000000000001,18,-13
35,1,0,0.969,14,-19
36,1,1,1.858,12,-11
37,1,0,1.403,10,-13
38,1,1,1.136,22,-16
39,1,0,0.971,12,-16
40,1,1,1.811,38,-17
41,1,1,1.651,40,-14
42,1,1,0.914,22,-5
43,1,1,2.441,16,-16
44,1,1,0.866,34,-5
45,1,0,0.836,10,-19
46,1,0,1.907,14,-16
47,1,1,0.969,30,-8
48,1,1,2.204,34,-14
49,1,1,1.97,30,-14
50,1,1,1.068,26,-15
51,1,0,1.077,10,-20
52,1,1,1.051,34,-7
53,1,1,1.445,10,-5
54,1,1,1.67,20,-20
55,1,1,0.956,28,-20
56,1,1,1.11,36,-5
57,1,1,2.516,26,-7
58,1,1,1.254,26,-17
59,1,1,1.51,16,-15
60,1,1,0.757,26,-10
61,1,1,1.963,38,-15
62,1,1,0.918,26,-11
63,1,1,0.855,28,-5
64,1,0,1.391,14,-18
65,1,1,0.966,22,-12
66,1,1,2.406,34,-15
67,1,1,0.87,38,-13
68,1,1,1.271,10,-8
69,1,1,1.15,12,-9
70,1,1,1.564,36,-11
71,1,1,1.695,14,-5
72,1,1,1.11,22,-11
73,1,0,1.286,18,-19
74,1,1,1.737,22,-8
75,1,1,1.063,38,-6
76,1,1,0.887,12,-8
77,1,1,1.247,14,-11
78,1,1,1.545,32,-12
79,1,1,0.8490000000000001,20,-11
80,1,1,0.944,26,-14
81,1,1,0.825,32,-8
82,1,1,1.963,40,-17
83,1,1,1.161,20,-17
84,1,1,0.888,24,-19
0,2,0,2.419,20,-15
1,2,0,1.358,18,-12
2,2,0,1.462,10,-15
3,2,1,2.189,34,-16
4,2,1,2.582,18,-5
5,2,0,2.823,26,-13
6,2,0,1.366,32,-17
7,2,1,1.5519999999999998,16,-5
8,2,1,1.612,22,-7
9,2,1,1.589,36,-8
10,2,0,1.885,16,-10
11,2,0,2.885,30,-13
12,2,0,1.263,14,-17
13,2,0,2.701,28,-19
14,2,0,1.327,14,-20
15,2,0,1.4480000000000002,26,-16
16,2,1,1.7919999999999998,40,-5
17,2,0,2.3680000000000003,28,-12
18,2,0,1.48,20,-16
19,2,1,2.448,26,-5
20,2,0,1.296,32,-20
21,2,0,1.24,18,-17
22,2,1,2.8310000000000004,20,-6
23,2,0,1.5530000000000002,20,-18
24,2,1,1.265,40,-7
25,2,1,1.369,36,-6
26,2,0,1.457,16,-20
29,2,0,1.297,12,-15
30,2,0,2.079,34,-17
31,2,0,2.346,18,-14
32,2,0,2.17,40,-13
33,2,0,1.3219999999999998,32,-19
34,2,0,1.258,14,-12
35,2,0,1.314,32,-10
36,2,0,1.917,36,-17
37,2,0,2.147,28,-13
39,2,0,2.106,38,-14
40,2,1,2.139,32,-11
41,2,1,1.699,32,-9
42,2,0,2.123,30,-16
43,2,0,2.659,34,-10
44,2,0,2.963,18,-8
45,2,0,2.885,34,-20
46,2,0,1.739,32,-16
47,2,0,1.372,24,-12
48,2,1,2.268,38,-12
49,2,1,2.189,38,-10
50,2,1,2.861,24,-7
51,2,0,1.692,16,-13
52,2,0,1.4369999999999998,36,-19
53,2,1,1.029,32,-5
54,2,1,2.101,34,-9
55,2,1,2.23,28,-7
56,2,0,1.79,24,-13
57,2,1,1.501,38,-5
58,2,1,1.358,22,-9
59,2,0,1.141,10,-11
60,2,0,0.885,12,-14
61,2,0,1.367,34,-19
62,2,1,2.191,38,-7
63,2,1,2.319,30,-6
64,2,0,2.431,26,-18
65,2,0,2.839,14,-6
66,2,0,1.318,16,-12
67,2,0,1.168,22,-20
68,2,0,1.385,12,-17
69,2,0,2.2230000000000003,10,-7
70,2,0,1.585,18,-20
71,2,0,2.457,12,-6
72,2,1,1.904,32,-6
73,2,1,2.416,18,-7
74,2,1,1.729,40,-10
75,2,0,1.585,14,-14
76,2,0,2.129,30,-19
77,2,0,2.881,24,-18
78,2,0,1.28,10,-12
79,2,0,1.289,40,-19
80,2,1,2.705,24,-9
81,2,0,1.105,16,-18
82,2,0,2.002,36,-12
83,2,1,2.351,26,-9
84,2,0,2.266,20,-12
85,2,0,2.0980000000000003,24,-14
0,2,1,1.676,20,-5
1,2,0,1.123,22,-17
2,2,0,0.903,10,-16
3,2,0,1.237,38,-18
4,2,0,1.109,20,-14
5,2,0,0.878,14,-13
6,2,1,1.504,40,-8
7,2,0,1.085,32,-18
8,2,1,1.938,24,-8
10,2,1,1.507,28,-6
11,2,0,1.255,16,-14
12,2,0,1.551,14,-9
13,2,0,1.742,20,-13
14,2,0,1.518,30,-18
15,2,0,1.207,14,-15
16,2,0,1.279,12,-12
17,2,0,2.208,24,-11
18,2,0,1.239,12,-10
19,2,1,2.001,16,-6
20,2,0,2.214,38,-20
21,2,0,2.975,28,-10
24,2,0,2.193,26,-12
25,2,0,1.209,10,-14
26,2,0,1.304,12,-13
27,2,0,2.106,24,-15
28,2,0,2.803,32,-15
29,2,0,2.801,36,-15
30,2,0,1.964,36,-18
31,2,0,1.203,12,-18
32,2,0,2.441,20,-9
33,2,0,2.231,16,-8
34,2,0,1.114,12,-20
35,2,0,1.186,22,-19
36,2,1,1.843,36,-9
37,2,1,1.85,26,-6
38,2,1,2.322,30,-5
39,2,1,1.834,36,-7
40,2,0,2.835,18,-10
41,2,1,2.587,30,-9
42,2,0,2.043,30,-12
43,2,0,2.315,14,-8
44,2,0,1.163,20,-19
45,2,0,1.116,28,-14
46,2,0,1.063,16,-17
47,2,1,1.628,26,-8
48,2,0,1.012,10,-17
49,2,1,1.988,12,-5
50,2,1,1.517,40,-6
51,2,1,2.38,36,-13
52,2,0,1.95,10,-9
53,2,0,1.204,34,-18
54,2,0,1.206,30,-15
55,2,0,1.358,18,-9
56,2,0,1.1740000000000002,26,-20
57,2,0,2.87,36,-20
58,2,0,1.222,22,-15
59,2,1,1.803,38,-8
60,2,0,1.503,28,-16
61,2,1,2.214,34,-12
62,2,0,1.919,28,-15
63,2,0,1.3630000000000002,24,-17
64,2,0,2.537,28,-11
65,2,0,1.727,16,-9
66,2,0,2.072,22,-13
67,2,1,1.5759999999999998,40,-11
68,2,1,1.864,28,-8
69,2,0,1.096,36,-16
70,2,0,1.103,20,-10
71,2,0,2.272,10,-18
72,2,1,1.743,40,-9
73,2,1,1.865,32,-7
74,2,0,1.505,40,-16
75,2,0,2.072,30,-17
76,2,1,1.504,24,-5
77,2,0,1.831,16,-7
80,2,0,1.306,24,-20
81,2,1,1.481,34,-6
82,2,0,1.45,24,-16
83,2,1,1.386,22,-6
84,2,0,2.602,12,-7
0,2,0,1.274,28,-17
1,2,0,1.371,14,-7
