,subj_idx,response,rt,gain,loss
185,1,1,2.167,9,-6
186,1,0,1.55,9,-7
187,1,0,0.897,9,-8
188,1,0,1.246,9,-9
189,1,0,1.519,9,-10
190,1,1,1.102,10,-1
191,1,1,2.633,10,-2
192,1,1,1.015,10,-3
193,1,1,1.113,10,-4
194,1,1,4.893,10,-5
195,1,1,2.339,10,-6
196,1,0,1.39,10,-7
197,1,0,1.276,10,-8
198,1,0,1.461,10,-9
199,1,0,0.941,10,-10
200,2,1,1.887,1,-1
201,2,0,0.985,1,-2
202,2,0,2.494,1,-3
203,2,0,2.554,1,-4
204,2,0,2.102,1,-5
205,2,0,1.381,1,-6
206,2,0,1.214,1,-7
207,2,0,1.5,1,-8
208,2,0,1.176,1,-9
209,2,0,1.095,1,-10
210,2,1,2.199,2,-1
211,2,1,1.788,2,-2
212,2,0,1.43,2,-3
213,2,0,1.96,2,-4
214,2,0,1.373,2,-5
215,2,0,1.379,2,-6
216,2,0,1.667,2,-7
217,2,0,1.192,2,-8
218,2,0,1.294,2,-9
219,2,0,1.76,2,-10
220,2,1,1.921,3,-1
221,2,1,4.811,3,-2
222,2,1,1.737,3,-3
223,2,0,1.158,3,-4
224,2,0,1.939,3,-5
225,2,0,2.781,3,-6
226,2,0,1.489,3,-7
227,2,0,1.506,3,-8
228,2,0,1.477,3,-9
229,2,0,1.2,3,-10
230,2,1,2.656,4,-1
231,2,1,1.716,4,-2
232,2,1,1.377,4,-3
233,2,1,1.659,4,-4
234,2,0,1.525,4,-5
235,2,0,1.59,4,-6
236,2,0,1.347,4,-7
237,2,0,1.994,4,-8
238,2,0,1.85,4,-9
239,2,0,4.714,4,-10
240,2,1,1.364,5,-1
241,2,1,1.237,5,-2
242,2,1,1.448,5,-3
243,2,0,5.612,5,-4
244,2,1,3.627,5,-5
245,2,0,1.271,5,-6
246,2,0,1.517,5,-7
247,2,0,1.529,5,-8
248,2,0,2.499,5,-9
249,2,0,1.637,5,-10
250,2,1,0.892,6,-1
251,2,1,1.76,6,-2
252,2,1,1.766,6,-3
253,2,1,1.036,6,-4
254,2,1,4.717,6,-5
255,2,1,4.178,6,-6
256,2,0,1.434,6,-7
257,2,0,1.191,6,-8
258,2,0,1.719,6,-9
259,2,0,1.188,6,-10
260,2,1,1.307,7,-1
261,2,1,1.202,7,-2
262,2,1,1.693,7,-3
263,2,1,1.743,7,-4
264,2,1,1.186,7,-5
265,2,0,3.885,7,-6
266,2,0,8.417,7,-7
267,2,0,3.227,7,-8
268,2,0,1.445,7,-9
269,2,0,2.758,7,-10
270,2,1,1.346,8,-1
271,2,1,1.613,8,-2
272,2,1,1.084,8,-3
273,2,1,2.617,8,-4
274,2,1,1.955,8,-5
275,2,1,2.352,8,-6
276,2,1,3.748,8,-7
277,2,1,2.739,8,-8
278,2,0,2.158,8,-9
279,2,0,1.939,8,-10
280,2,1,1.727,9,-1
281,2,1,1.166,9,-2
282,2,1,1.21,9,-3
283,2,1,1.416,9,-4
284,2,1,1.197,9,-5
285,2,1,4.441,9,-6
286,2,1,1.173,9,-7
287,2,0,3.181,9,-8
288,2,1,7.142,9,-9
289,2,0,1.965,9,-10
290,2,1,1.138,10,-1
291,2,1,1.529,10,-2
292,2,1,1.56,10,-3
293,2,1,1.667,10,-4
294,2,1,1.813,10,-5
295,2,1,1.405,10,-6
296,2,1,2.748,10,-7
297,2,1,2.488,10,-8
298,2,1,10.007,10,-9
299,2,0,6.508,10,-10
300,2,1,1.243,1,-1
301,2,0,1.512,1,-2
302,2,0,1.253,1,-3
303,2,0,1.517,1,-4
304,2,0,0.949,1,-5
305,2,0,0.909,1,-6
306,2,0,0.934,1,-7
307,2,0,1.192,1,-8
308,2,0,1.076,1,-9
309,2,0,0.756,1,-10
310,2,1,0.998,2,-1
311,2,1,0.959,2,-2
312,2,0,1.114,2,-3
313,2,0,1.269,2,-4
314,2,0,1.464,2,-5
315,2,0,0.827,2,-6
316,2,0,1.243,2,-7
317,2,0,0.994,2,-8
318,2,0,0.688,2,-9
319,2,0,1.031,2,-10
320,2,1,0.983,3,-1
321,2,1,0.91,3,-2
322,2,1,0.999,3,-3
323,2,0,1.105,3,-4
324,2,0,0.928,3,-5
325,2,0,1.047,3,-6
326,2,0,1.378,3,-7
327,2,0,1.15,3,-8
328,2,0,0.933,3,-9
329,2,0,1.025,3,-10
330,2,1,1.286,4,-1
331,2,1,1.401,4,-2
332,2,1,2.133,4,-3
333,2,1,1.099,4,-4
334,2,0,1.064,4,-5
335,2,0,1.181,4,-6
336,2,0,1.097,4,-7
337,2,0,1.028,4,-8
338,2,0,1.19,4,-9
339,2,0,1.711,4,-10
340,2,1,0.874,5,-1
341,2,1,0.742,5,-2
342,2,1,1.063,5,-3
343,2,1,1.807,5,-4
344,2,1,1.098,5,-5
345,2,0,1.277,5,-6
346,2,0,1.057,5,-7
347,2,0,1.124,5,-8
348,2,0,1.039,5,-9
349,2,0,1.154,5,-10
350,2,1,0.925,6,-1
351,2,1,0.885,6,-2
352,2,1,1.031,6,-3
353,2,1,0.907,6,-4
354,2,1,1.875,6,-5
355,2,1,1.776,6,-6
356,2,0,1.733,6,-7
357,2,0,1.301,6,-8
358,2,0,1.122,6,-9
359,2,0,1.409,6,-10
360,2,1,0.897,7,-1
361,2,1,1.352,7,-2
362,2,1,0.85,7,-3
363,2,1,1.034,7,-4
364,2,1,1.626,7,-5
365,2,1,1.197,7,-6
366,2,1,1.838,7,-7
367,2,0,1.757,7,-8
368,2,0,1.015,7,-9
369,2,0,1.016,7,-10
370,2,1,0.941,8,-1
371,2,1,0.848,8,-2
372,2,1,0.779,8,-3
373,2,1,0.934,8,-4
374,2,1,1.032,8,-5
375,2,1,0.82,8,-6
376,2,1,0.782,8,-7
377,2,1,2.205,8,-8
378,2,0,1.154,8,-9
379,2,0,1.314,8,-10
380,2,1,0.988,9,-1
