,chiSquared,AIC
full,2735.4320903118423,37232.496479806585
noLossAversion,3828.4855091535546,38033.51191267985
noPredecisionalBias,3187.2738395000833,36538.38833041317
noFixedUtilityBias,3480.703832137861,38189.17853328836
