"Timestamp","The alternate route can result in a loss of 2 min or a gain of 20 min","The alternate route can result in a loss of 5 min or a gain of 20 min","The alternate route can result in a loss of 10 min or a gain of 20 min","The alternate route can result in a loss of 15 min or a gain of 20 min","The alternate route can result in a loss of 20 min or a gain of 20 min","The alternate route can result in a loss of 25 min or a gain of 20 min","The alternate route can result in a loss of 30 min or a gain of 20 min","The alternate route can result in a loss of 35 min or a gain of 20 min","How important is it to be punctual according to you?","Please enter your age (in years)","Please enter your gender","Please enter your marital status","How frequently do you commute on a weekly basis?","How often do you use navigation apps (such as google maps) while commuting?","Do you consider alternate routes while using navigation apps? (choose what describes you best)"
"2020/03/25 10:46:25 PM GMT+5:30","Accept alternate route","Accept alternate route","Reject alternate route","Reject alternate route","Reject alternate route","Reject alternate route","Reject alternate route","Reject alternate route","4","20","Male","Single","2","1","I consider alternate routes and use my judgement to decide which route is best"
"2020/03/25 10:54:12 PM GMT+5:30","Accept alternate route","Accept alternate route","Accept alternate route","Reject alternate route","Reject alternate route","Reject alternate route","Reject alternate route","Reject alternate route","5","21","Male","Single","1","1","I usually take the route suggested by the app"
"2020/03/25 11:03:49 PM GMT+5:30","Accept alternate route","Accept alternate route","Accept alternate route","Reject alternate route","Reject alternate route","Reject alternate route","Reject alternate route","Reject alternate route","4","22","Male","Single","3","3","I consider alternate routes and use my judgement to decide which route is best"
"2020/03/25 11:04:05 PM GMT+5:30","Accept alternate route","Accept alternate route","Accept alternate route","Accept alternate route","Reject alternate route","Reject alternate route","Reject alternate route","Reject alternate route","3","21","Male","Single","2","2","I consider alternate routes and use my judgement to decide which route is best"
"2020/03/25 11:07:59 PM GMT+5:30","Accept alternate route","Accept alternate route","Accept alternate route","Accept alternate route","Accept alternate route","Accept alternate route","Reject alternate route","Reject alternate route","5","25","Prefer not to say","Married / Living together","2","3","I consider alternate routes and use my judgement to decide which route is best"
"2020/03/25 11:09:01 PM GMT+5:30","Accept alternate route","Reject alternate route","Reject alternate route","Reject alternate route","Reject alternate route","Reject alternate route","Reject alternate route","Reject alternate route","4","21","Male","Single","2","2","I consider alternate routes and use my judgement to decide which route is best"
"2020/03/25 11:41:11 PM GMT+5:30","Accept alternate route","Accept alternate route","Accept alternate route","Reject alternate route","Reject alternate route","Reject alternate route","Reject alternate route","Reject alternate route","5","18","Male","Single","2","3","I consider alternate routes and use my judgement to decide which route is best"
"2020/03/26 12:01:02 AM GMT+5:30","Accept alternate route","Accept alternate route","Accept alternate route","Reject alternate route","Reject alternate route","Reject alternate route","Reject alternate route","Reject alternate route","4","22","Male","Single","1","3","I usually take the route suggested by the app"
"2020/03/26 12:14:57 AM GMT+5:30","Accept alternate route","Accept alternate route","Reject alternate route","Reject alternate route","Reject alternate route","Reject alternate route","Reject alternate route","Reject alternate route","4","22","Male","Single","3","3","I usually take the route suggested by the app"
"2020/03/26 12:17:27 AM GMT+5:30","Accept alternate route","Accept alternate route","Accept alternate route","Accept alternate route","Reject alternate route","Reject alternate route","Reject alternate route","Reject alternate route","5","21","Male","Single","1","3","I usually take the route suggested by the app"
"2020/03/26 1:53:10 AM GMT+5:30","Accept alternate route","Accept alternate route","Accept alternate route","Reject alternate route","Reject alternate route","Reject alternate route","Reject alternate route","Reject alternate route","4","20","Male","Single","1","2","I usually take the route suggested by the app"
"2020/03/26 11:16:56 AM GMT+5:30","Accept alternate route","Accept alternate route","Accept alternate route","Accept alternate route","Reject alternate route","Reject alternate route","Reject alternate route","Reject alternate route","3","21","Male","Single","2","2","I usually take the route suggested by the app"
"2020/03/26 12:18:56 PM GMT+5:30","Accept alternate route","Accept alternate route","Reject alternate route","Reject alternate route","Reject alternate route","Reject alternate route","Reject alternate route","Reject alternate route","4","19","Male","Single","2","3","I consider alternate routes and use my judgement to decide which route is best"
"2020/03/26 12:25:56 PM GMT+5:30","Accept alternate route","Accept alternate route","Accept alternate route","Accept alternate route","Reject alternate route","Reject alternate route","Reject alternate route","Reject alternate route","4","19","Male","Single","2","3","I consider alternate routes and use my judgement to decide which route is best"
"2020/03/26 12:59:13 PM GMT+5:30","Accept alternate route","Accept alternate route","Reject alternate route","Reject alternate route","Reject alternate route","Reject alternate route","Reject alternate route","Accept alternate route","3","22","Male","Single","2","3","I usually take the route suggested by the app"
"2020/03/26 1:00:50 PM GMT+5:30","Accept alternate route","Accept alternate route","Accept alternate route","Reject alternate route","Reject alternate route","Reject alternate route","Reject alternate route","Reject alternate route","4","22","Female","Single","2","3","I consider alternate routes and use my judgement to decide which route is best"
"2020/03/26 1:07:48 PM GMT+5:30","Accept alternate route","Accept alternate route","Reject alternate route","Reject alternate route","Reject alternate route","Reject alternate route","Reject alternate route","Reject alternate route","3","20","Male","Single","3","2","I consider alternate routes and use my judgement to decide which route is best"
"2020/03/26 1:18:48 PM GMT+5:30","Accept alternate route","Accept alternate route","Accept alternate route","Reject alternate route","Reject alternate route","Reject alternate route","Reject alternate route","Reject alternate route","5","20","Male","Single","3","2","I usually take the route suggested by the app"
"2020/03/26 1:19:14 PM GMT+5:30","Accept alternate route","Accept alternate route","Accept alternate route","Reject alternate route","Reject alternate route","Reject alternate route","Reject alternate route","Reject alternate route","4","22","Male","Single","3","2","I usually take the route suggested by the app"
"2020/03/26 1:19:26 PM GMT+5:30","Accept alternate route","Accept alternate route","Reject alternate route","Reject alternate route","Reject alternate route","Reject alternate route","Reject alternate route","Reject alternate route","4","20","Male","Single","3","2","I consider alternate routes and use my judgement to decide which route is best"
"2020/03/26 1:21:47 PM GMT+5:30","Accept alternate route","Accept alternate route","Reject alternate route","Reject alternate route","Reject alternate route","Reject alternate route","Reject alternate route","Reject alternate route","5","19","Male","Single","3","2","I consider alternate routes and use my judgement to decide which route is best"
"2020/03/26 1:22:55 PM GMT+5:30","Accept alternate route","Accept alternate route","Reject alternate route","Reject alternate route","Reject alternate route","Reject alternate route","Reject alternate route","Reject alternate route","4","22","Male","Single","3","3","I consider alternate routes and use my judgement to decide which route is best"
"2020/03/26 1:30:35 PM GMT+5:30","Accept alternate route","Accept alternate route","Accept alternate route","Accept alternate route","Reject alternate route","Reject alternate route","Reject alternate route","Reject alternate route","4","21","Male","Single","3","3","I usually take the route suggested by the app"
"2020/03/26 1:30:36 PM GMT+5:30","Reject alternate route","Reject alternate route","Reject alternate route","Accept alternate route","Accept alternate route","Accept alternate route","Accept alternate route","Accept alternate route","5","18","Female","Single","3","2","I usually take the route suggested by the app"
"2020/03/26 1:34:19 PM GMT+5:30","Accept alternate route","Accept alternate route","Reject alternate route","Reject alternate route","Reject alternate route","Reject alternate route","Reject alternate route","Reject alternate route","5","20","Male","Single","3","3","I consider alternate routes and use my judgement to decide which route is best"
"2020/03/26 1:36:40 PM GMT+5:30","Accept alternate route","Accept alternate route","Reject alternate route","Reject alternate route","Reject alternate route","Reject alternate route","Reject alternate route","Reject alternate route","4","21","Male","Single","3","3","I consider alternate routes and use my judgement to decide which route is best"
"2020/03/26 1:51:17 PM GMT+5:30","Accept alternate route","Accept alternate route","Accept alternate route","Reject alternate route","Reject alternate route","Reject alternate route","Reject alternate route","Reject alternate route","3","21","Male","Single","1","1","I always take the default route"
"2020/03/26 2:36:01 PM GMT+5:30","Accept alternate route","Accept alternate route","Accept alternate route","Reject alternate route","Reject alternate route","Reject alternate route","Reject alternate route","Reject alternate route","5","21","Female","Single","1","3","I usually take the route suggested by the app"
"2020/03/26 2:42:42 PM GMT+5:30","Accept alternate route","Accept alternate route","Accept alternate route","Accept alternate route","Accept alternate route","Accept alternate route","Reject alternate route","Reject alternate route","5","20","Male","Single","2","2","I usually take the route suggested by the app"
"2020/03/26 3:02:56 PM GMT+5:30","Accept alternate route","Accept alternate route","Reject alternate route","Reject alternate route","Reject alternate route","Reject alternate route","Reject alternate route","Reject alternate route","4","22","Male","Single","2","2","I consider alternate routes and use my judgement to decide which route is best"
