small, 30, 30, 10, 2, 5, 11, 10, 5, 0, 8, 10, 10, 5, 5, 5, 5, 30, 18, 5, 5, 2, 10, 10, 5, 9, 30, 10, 30, 10, 5, 20, 0, 15, 6, 10, 5, 15, 10, 15, 7, 20, 18, 12, 9, 13, 5, 5, 10, 15, 10, 0, 15, 10, 10, 10, 10
large, 30, 30, 30, 14, 15, 22, 15, 16, 10, 19, 30, 15, 15, 30, 30, 15, 20, 0, 20, 30, 15, 15, 30, 20, 15, 11, 30, 15, 10, 12, 6, 21, 30, 15, 10, 10, 29, 15, 20, 30, 15, 30, 26, 20, 15, 8, 16, 15, 20, 15, 20, 5, 0, 15, 15, 30

