,chiSquared,AIC
unequalThreshold (baseline),1731.3127754294367,65547.02034929728
onlyLossAversion.csv,5380.385985879915,64474.02812240222
onlyPredecisionalBias.csv,1845.4049348584513,64518.60680565812
onlyFixedUtilityBias.csv,3632.801315645075,65531.19864296883
