,chiSquared,AIC
unequalAttention (baseline),1973.2154438193265,75914.99014429483
onlyLossAversion.csv,2207.1290846476354,75337.86311454239
onlyPredecisionalBias.csv,5954.050379439316,77686.37595848835
onlyFixedUtilityBias.csv,5480.110727643883,77994.50071232622
