,subj_idx,response,rt,gain,loss
154,1,1.0,1.8730000000000002,14,-5
155,1,1.0,1.3530000000000002,24,-7
156,1,1.0,1.456,32,-19
157,1,1.0,1.3519999999999999,22,-12
158,1,1.0,0.937,32,-6
159,1,1.0,1.04,22,-5
160,1,1.0,1.1420000000000001,32,-9
161,1,1.0,1.1440000000000001,28,-19
162,1,1.0,1.5590000000000002,26,-7
163,1,1.0,1.456,32,-17
164,1,1.0,1.77,16,-14
165,1,1.0,1.56,12,-5
166,1,1.0,1.245,38,-10
167,1,1.0,1.456,36,-13
168,1,0.0,2.08,16,-19
169,1,1.0,1.456,22,-17
170,1,1.0,1.663,10,-9
171,1,1.0,1.248,40,-9
172,1,1.0,1.5590000000000002,28,-14
173,1,1.0,1.5590000000000002,22,-6
174,1,0.0,1.561,14,-17
175,1,1.0,1.659,18,-18
176,1,1.0,1.766,18,-16
177,1,1.0,1.7690000000000001,24,-12
178,1,1.0,1.455,14,-11
179,1,1.0,0.9329999999999999,36,-5
180,1,1.0,1.456,30,-13
181,1,1.0,1.6640000000000001,36,-17
182,1,1.0,1.145,40,-14
183,1,0.0,1.456,10,-13
184,1,1.0,1.9769999999999999,40,-19
185,1,1.0,1.247,24,-8
186,1,1.0,1.975,38,-11
187,1,1.0,1.6640000000000001,30,-15
188,1,1.0,1.349,34,-10
189,1,1.0,1.768,22,-14
190,1,1.0,0.937,38,-5
191,1,0.0,1.5619999999999998,14,-19
192,1,1.0,1.3519999999999999,28,-13
193,1,1.0,1.146,32,-8
194,1,1.0,1.145,14,-13
195,1,1.0,1.246,18,-5
196,1,1.0,1.456,20,-13
197,1,1.0,2.39,36,-16
198,1,0.0,1.4580000000000002,12,-20
199,1,1.0,1.456,26,-17
200,1,1.0,1.766,14,-12
201,1,1.0,1.248,12,-11
202,1,1.0,1.768,18,-15
203,1,0.0,1.768,18,-19
204,1,1.0,1.6640000000000001,28,-15
205,1,1.0,1.246,26,-19
206,1,1.0,1.561,14,-8
207,1,0.0,1.249,10,-11
208,1,1.0,1.25,40,-11
209,1,1.0,1.248,38,-7
210,1,0.0,1.3519999999999999,10,-17
211,1,1.0,1.248,20,-17
212,1,1.0,1.561,24,-10
213,1,1.0,1.659,30,-19
214,1,1.0,1.0390000000000001,34,-9
215,1,1.0,1.5590000000000002,26,-15
216,1,0.0,1.9780000000000002,16,-18
217,1,0.0,1.3519999999999999,14,-16
218,1,1.0,1.249,34,-6
219,1,1.0,1.456,24,-18
220,1,1.0,0.937,34,-5
221,1,1.0,1.248,10,-6
222,1,1.0,1.354,26,-20
223,1,0.0,1.456,12,-13
224,1,1.0,1.561,36,-18
225,1,1.0,1.5590000000000002,22,-9
226,1,1.0,1.766,18,-12
227,1,1.0,1.042,32,-10
228,1,1.0,1.56,38,-12
229,1,1.0,2.2880000000000003,14,-7
230,1,1.0,1.3530000000000002,20,-10
231,1,0.0,2.287,12,-17
232,1,1.0,1.768,28,-10
233,1,1.0,1.976,38,-16
234,1,1.0,1.975,18,-13
235,1,1.0,1.041,26,-6
236,1,1.0,1.1440000000000001,34,-11
237,1,1.0,1.1440000000000001,30,-6
238,1,1.0,1.249,12,-7
239,1,1.0,1.767,18,-7
240,1,1.0,1.7690000000000001,22,-20
241,1,1.0,1.766,36,-20
242,1,1.0,1.247,16,-10
243,1,1.0,1.041,38,-8
244,1,0.0,1.456,14,-15
245,1,1.0,1.0390000000000001,30,-9
246,1,1.0,1.248,26,-12
247,1,1.0,1.249,38,-17
248,1,1.0,1.4569999999999999,22,-13
249,1,1.0,0.935,40,-16
250,1,1.0,1.1440000000000001,26,-14
251,1,1.0,1.765,34,-16
252,1,1.0,1.453,40,-20
253,1,1.0,1.454,28,-6
254,1,1.0,1.663,22,-7
255,1,1.0,1.041,24,-5
256,3,1.0,1.247,14,-14
257,3,1.0,1.041,38,-14
258,3,1.0,2.803,10,-18
259,3,1.0,0.9359999999999999,16,-5
260,3,1.0,1.1420000000000001,40,-12
261,3,1.0,1.145,40,-18
262,3,1.0,1.04,24,-9
263,3,1.0,1.3519999999999999,30,-14
264,3,0.0,2.289,10,-15
265,3,1.0,1.041,28,-5
266,3,1.0,1.87,18,-20
267,3,1.0,1.456,24,-14
268,3,1.0,1.248,12,-9
269,3,1.0,1.242,36,-7
270,3,1.0,1.25,38,-19
271,3,1.0,2.702,20,-15
272,3,1.0,1.1440000000000001,32,-12
273,3,1.0,1.1440000000000001,30,-17
274,3,1.0,1.249,14,-9
275,3,1.0,1.038,38,-9
276,3,1.0,1.041,32,-5
277,3,0.0,2.392,10,-10
278,3,1.0,1.247,12,-10
279,3,1.0,1.456,28,-17
280,3,1.0,0.935,34,-8
281,3,1.0,1.04,28,-9
282,3,1.0,1.041,20,-9
283,3,1.0,0.9359999999999999,38,-6
284,3,1.0,1.038,32,-20
285,3,1.0,1.351,38,-15
286,3,1.0,2.597,28,-20
287,3,1.0,2.082,16,-13
