,chiSquared,AIC
onlyLossAversion,2799.594106478835,36731.330105991234
onlyUnequalAttention,3114.905002259165,37400.63262412946
onlyStartingBias,4174.316779419885,38201.99189082156
onlyUnequalThreshold,4246.652999941067,37957.22389508503
onlyFixedUtilityBias,4280.798416765979,38657.353777456345
