,chiSquared,AIC
full,2653.364688170819,37073.816281481406
noLossAversion,3005.321367111601,37521.637994881974
noPredecisionalBias,3784.9619290356345,37147.49265854429
noFixedUtilityBias,2664.2013316688763,37596.66948663961
